ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Altitude,Region,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
40,Arabica,cqi q coffee sample representative,United States,la primavera,coffee quality institute,meters above sea level: 1.941,antioquia,Washed / Wet,7.67,8.17,8,8,8.17,08.08,10,10,10,08.08,86.17
41,Arabica,itdp international,Thailand,co-op #12,lanna cafe,1300,chiang rai,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17
42,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,1.2,sul de minas - carmo de minas,,8.17,7.92,7.92,7.75,8.33,8,10,10,10,08.08,86.17
43,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,1.2,sul de minas - carmo de minas,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17
44,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,1000 m,natou county,Semi-washed / Semi-pulped,08.08,8.17,7.75,08.08,7.75,7.83,10,10,10,8.42,86.08
45,Arabica,jungle estate,Kenya,jungle estate,keremara limited,1754,nyeri,Natural / Dry,08.08,08.08,8,8,7.83,08.08,10,10,10,8,86.08
46,Arabica,nucoffee,Brazil,fazenda kaquend,nucoffee,1250m,south of minas,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,86.08
47,Arabica,great lakes coffee uganda,Uganda,kaasayi,ucda,,eastern uganda,Semi-washed / Semi-pulped,08.08,08.08,7.83,7.92,08.08,7.92,10,10,10,08.08,86
48,Arabica,lusso lab,Colombia,ecobio colombia,lusso coffee lab,900-1500m,tolima,Washed / Wet,7.75,7.92,7.83,08.08,08.08,8.17,10,10,10,8.17,86
49,Arabica,lusso lab,Kenya,kianjavi,lusso coffee lab,1520m-2200m,kiambu,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86
50,Arabica,afca,Uganda,,kawacom uganda ltd,1400-1900m,"sipi, mt elgon",Washed / Wet,8.25,8,7.83,08.08,8,7.92,10,10,10,7.92,86
51,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,1500-2000 m,sidamo,,7.75,08.08,8,8.25,8,8,10,10,10,7.92,86
52,Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,,1400ft,kona,,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86
53,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,"unex guatemala, s.a.",,nuevo oriente,Washed / Wet,7.92,08.08,7.92,08.08,08.08,7.83,10,10,10,8,85.92
54,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,kawacom uganda ltd,1400-1900,eastern,Natural / Dry,8.17,8.17,7.92,08.08,7.83,7.75,10,10,10,8,85.92
55,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,1800 msnm,huila,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92
56,Arabica,gonzalo hernandez,Panama,la berlina estate,ce specialty s.a.,1600,boquete,Washed / Wet,8,8,7.92,08.08,7.83,8,10,10,10,8,85.83
57,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,,ibrahim hussien specality coffee product & exporter,1800-2000,oromia,Washed / Wet,7.83,08.08,7.92,08.08,8,7.92,10,10,10,8,85.83
58,Arabica,juan luis alvarado romero,Guatemala,valparaiso,sertrasa,5000,acatenango,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83
59,Arabica,juan luis alvarado romero,Guatemala,finca el limon,unicafe,4650,nuevo oriente,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83
60,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,seid damtew coffee planation,,addis ababa,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75
61,Arabica,dane loraas,Peru,,sustainable harvest,,cajamarca,Washed / Wet,8,8,8,08.08,7.92,7.75,10,10,10,8,85.75
62,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,cqi,1700 mts,eastern highlands province,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75
63,Arabica,atlantic specialty coffee,El Salvador,el majahual,atlantic specialty coffee,1500 meters,apaneca,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58
64,Arabica,lusso lab,El Salvador,finca la esmeralda,lusso coffee lab,1300~1400 m.s.l,"ataco, apaneca - ilamatepec mountain range",Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58
65,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.83,8,7.92,7.75,08.08,8,10,10,10,8,85.58
66,Arabica,essencecoffee,Panama,elida estate,essence coffee,1680,boquete,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5
67,Arabica,essencecoffee,Kenya,inoi,essence coffee,1900m,kirinyaga,Natural / Dry,7.92,7.92,7.83,08.08,7.83,7.92,10,10,10,8,85.5
68,Arabica,assefa belay coffee producer,Ethiopia,,assefa belay coffee producer,1800-2000,oromia,Natural / Dry,7.83,8,7.83,7.92,7.83,08.08,10,10,10,8,85.5
69,Arabica,kyagalanyi ltd,Uganda,buginyanya,kyagalanyi coffee ltd,1600,bulambuli eastern region,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,08.08,85.5
70,Arabica,juan luis alvarado romero,Guatemala,asoperc,exportcafe,5600-5760 metros,huehuetenango,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5
71,Arabica,assefa belay coffee producer,Ethiopia,,assefa belay coffee producer,1800-2000,oromia,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,08.08,85.42
72,Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,great lakes coffee,1950,kapchorwa,Washed / Wet,08.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42
73,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42
74,Arabica,nucoffee,Brazil,fazenda serra de três barras,nucoffee,1250m,south of minas,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85.42
75,Arabica,grounds for health admin,El Salvador,sierra nevada,,1400 m,apaneca,,08.08,7.83,7.83,08.08,7.83,7.83,10,10,10,7.92,85.42
76,Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,yunnan coffee exchange,1700,yunnan,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33
77,Arabica,essencecoffee,Guatemala,el injerto s.a.,essence coffee,1770,huehuetenango,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33
78,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,1300,west valley,Washed / Wet,7.92,08.08,8,7.92,8,08.08,10,10,9.33,8,85.33
79,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,1300 msnm,san ramon,Washed / Wet,8,7.58,7.58,7.67,08.08,8.5,10,10,10,7.92,85.33
80,Arabica,rashid moledina & co. (msa) ltd.,Kenya,,rashid moledina & co. (msa) ltd,above 1600 m,central kenya,Washed / Wet,7.83,08.08,7.75,08.08,7.92,7.75,10,10,10,7.92,85.33
81,Arabica,ibero kenya limited,Kenya,,ibero kenya limited,above 1200 m,central kenya,Washed / Wet,8,7.92,7.92,08.08,7.83,7.75,10,10,10,7.83,85.33
82,Arabica,ethiopia commodity exchange,Ethiopia,phone number | 0911-513824 email: gmt.ft,,,yirgacheffe,,7.83,7.83,7.92,08.08,7.75,7.83,10,10,10,08.08,85.33
83,Arabica,ethiopia commodity exchange,Ethiopia,,,,yirgacheffe,,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33
84,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,"unex guatemala, s.a.",,oriente,,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25
85,Arabica,exportadora de cafe condor s.a,Colombia,various,exportadora de cafe condor s.a,1550 msnm,santander,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25
86,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1550,santander,Natural / Dry,7.58,08.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25
87,Arabica,"nomura trading co., ltd.",Indonesia,,"nomura trading co., ltd.",1250-1400 meter,lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,08.08,7.83,10,10,10,8,85.17
88,Arabica,the coffee source inc.,Guatemala,coop. hoja blanca - fedecocagua,the coffee source inc.,1400 msm,huehuetenango,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17
89,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,seid damtew coffee planation,,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",Natural / Dry,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08
90,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,2.560 msnm,pasto,Natural / Dry,8.17,7.83,7.58,08.08,8,7.75,10,10,10,7.67,85.08
91,Arabica,steven kil,Ethiopia,aricha coop,the specialty coffee appraisers institute of asia,1700,aricha,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,10,08.08,85.08
92,Arabica,eileen koyanagi,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08
93,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,2136 msnm,cundinamarca,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,10,08.08,85.08
94,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,kona,,08.08,8.17,7.92,8,08.08,8,9.33,9.33,10,8.17,85.08
95,Arabica,ethiopia commodity exchange,Ethiopia,,,,sidamo,,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08
96,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,kona,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08
97,Arabica,kyagalanyi coffee ltd,Uganda,mount elgon area,kyagalanyi coffee ltd,1800,eastern uganda,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85
98,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,,huila,Washed / Wet,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85
99,Arabica,troy quimby,Costa Rica,estate la patricia,bold coast coffee,1900,tarrazu,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85
100,Arabica,"el equimite, cafetal biodinámico",Mexico,various,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",1300,veracruz,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,10,10,08.08,85
101,Arabica,simon mahinda,Kenya,,c dorman ltd,-1,,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85
102,Arabica,rashid moledina & co. (msa) ltd.,Kenya,machure estate,rashid moledina & co. (msa) ltd,1580,central kenya,Washed / Wet,7.75,7.83,7.75,08.08,8,7.75,10,10,10,7.83,85
103,Arabica,nucoffee,Brazil,sitío são geraldo,nucoffee,1100m,grama valley,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85
104,Arabica,young kim,Mexico,kassandra,,1400 masl,mexico,,7.92,8.17,7.75,08.08,7.42,7.83,10,10,10,7.83,85
105,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,kona,,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85
106,Arabica,carl walker,Guatemala,la igualdad,,3500-5200 feet,"chuva, san marcos",,7.83,08.08,7.67,8,7.75,7.67,10,10,10,8,85
107,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,,huila,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92
108,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92
109,Arabica,"lin, che-hao krude 林哲豪",Taiwan,baishengcun coffee 百勝村咖啡莊園,taiwan coffee laboratory,800 m,natou county,Semi-washed / Semi-pulped,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92
110,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",hasambo amcos,taylor winch (t) ltd,1620m,mbeya,Washed / Wet,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92
111,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92
112,Arabica,artemio zapata tejeda,Mexico,el suspiro,,1200,coatepec,Semi-washed / Semi-pulped,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92
113,Arabica,nucoffee,Brazil,fazenda grota funda,nucoffee,1200m,south of minas,Natural / Dry,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92
114,Arabica,nucoffee,Brazil,sitio claro,nucoffee,1000 m,south of minas,Natural / Dry,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92
115,Arabica,brian speckman,Kenya,,,,,,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92
116,Arabica,"lin, che-hao krude 林哲豪",Taiwan,shi fang yuan 十方源,taiwan coffee laboratory,350,"dongshan dist., tainan city 臺南市東山區",Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83
117,Arabica,kawacom uganda ltd,Uganda,mt.elgon bugisu shamba 2,kawacom uganda ltd,1400-1900,eastern,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83
118,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8,10,10,10,08.08,84.83
119,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,1500-2000 m,sidamo,,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83
120,Arabica,philip schluter,Ethiopia,contact | sidacoop@ethionet.net,,1500-2000 m,sidamo,,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83
121,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,matsuzawa coffee,,thailand,Pulped natural / honey,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75
122,Arabica,lydiah mwangi,Kenya,karatina,c dorman ltd,1800,nyeri,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75
123,Arabica,cadexsa,Honduras,cerro bueno,cadexsa,1450 msnm,marcala,Washed / Wet,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75
124,Arabica,the coffee source inc.,El Salvador,several,,1200 mts,santa ana,,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75
125,Arabica,grounds for health admin,Nicaragua,santa martha,,800-1050m,jinotega,,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75
126,Arabica,consejo salvadoreño del café,El Salvador,monterrey,cafetalera del pacifico,1350,apaneca,Washed / Wet,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67
127,Arabica,sanjava coffee,Indonesia,sran temanggung plantation,pt. shriya artha nusantara,1200,"temanggung, indonesia",Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67
128,Arabica,松澤宏樹 koju matsuzawa,Japan,ada farm,matsuzawa coffee,170,ada okinawa japan,Pulped natural / honey,7.75,7.75,7.75,7.42,08.08,7.83,10,10,10,08.08,84.67
129,Arabica,rodrigo soto,Costa Rica,rio jorco,panamerican coffee trading,1150,tarrazu,Washed / Wet,08.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67
130,Arabica,juan luis alvarado romero,Guatemala,san diego buena vista,"waelti schoenfeld exportadores de cafe, s.a.",1600,acatenango,Washed / Wet,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67
131,Arabica,fabian calderon mora,Costa Rica,coopetarrazú,coopetarrazú.r.l,1750,tarrazu,Washed / Wet,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67
132,Arabica,essencecoffee,Ethiopia,moplaco,essence coffee,1900m,yirgacheffe,Washed / Wet,08.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67
133,Arabica,essencecoffee,Costa Rica,finca salaca las brisas,essence coffee,1750m,costa rica,Other,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67
134,Arabica,eric thormaehlen,Costa Rica,various,coricafe s.a.,1200,west valley,Washed / Wet,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67
135,Arabica,rob tuttle,Costa Rica,,thrive farmers,,,Washed / Wet,08.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67
136,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,dragon 龍咖啡,blossom valley宸嶧國際,1000 m,taichung xinshe 台中市新社區,Washed / Wet,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67
137,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1550,santander,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67
138,Arabica,dream together,Kenya,,dream together inc.,2000,nyeri,Washed / Wet,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67
139,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",4300,oriente,Washed / Wet,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67
140,Arabica,juan luis alvarado romero,Guatemala,valparaiso,sertrasa,5000,acatenango,Washed / Wet,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67
141,Arabica,organizaciones de productores de cafe colimense,Mexico,"el nogal, la higuera, los laureles",organizaciones de productores de cafe colimense sa de cv,1200,el remudadero,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67
142,Arabica,afca,Uganda,,ugacof ltd,1700-1850m,mbale,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67
143,Arabica,benjamin schmerler,Peru,,,,"penachi, cecanor",,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,84.67
144,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,1500-2000 m,sidamo,,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,84.67
145,Arabica,jungle estate,Kenya,jungle estate,keremara limited,1754,nyeri,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58
146,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,1500,santander,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,08.08,84.58
147,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,,huila,Washed / Wet,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58
148,Arabica,daniel magu,Kenya,blend,c dorman ltd,1800,nyeri,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58
149,Arabica,juan luis alvarado romero,Guatemala,el morito,"armajaro guatemala, s. a.",5000 ft.,jalapa,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58
150,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",4000 psn,oriente,Washed / Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58
151,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1550,santander,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58
152,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,1600 a 1900 msnm,huila,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58
